,community.type,Day,method,Treatment,Df,mean.sq,Fs,ps,qs
1,family,all,bray,all,7,0.417132648,31.8317326,2.00E-05,5.53E-05
2,family,all,bray,glucose,1,1.099527396,89.34686781,2.00E-05,5.53E-05
3,family,all,bray,leucine,1,0.001524954,0.111835108,0.736425271,0.774456624
4,family,all,bray,citrate,1,0.321552262,24.40358236,2.00E-05,5.53E-05
5,family,all,jaccard,all,7,0.807781975,39.33496449,2.00E-05,5.53E-05
6,family,all,jaccard,glucose,1,1.928744609,108.6113434,2.00E-05,5.53E-05
7,family,all,jaccard,leucine,1,3.18E-05,0.001641277,0.968120638,0.968120638
8,family,all,jaccard,citrate,1,0.616654085,33.10521151,2.00E-05,5.53E-05
9,family,day2,bray,all,7,0.033050028,11.50678981,2.00E-05,5.53E-05
10,family,day2,bray,glucose,1,0.016521236,5.445102243,0.020559589,0.035425753
11,family,day2,bray,leucine,1,0.019802166,6.09533861,0.014079718,0.02503061
12,family,day2,bray,citrate,1,0.001320739,0.391406795,0.535409292,0.593721195
13,family,day2,jaccard,all,7,0.079301047,11.97691672,2.00E-05,5.53E-05
14,family,day2,jaccard,glucose,1,0.034696384,5.185598603,0.023539529,0.039945868
15,family,day2,jaccard,leucine,1,0.034225601,4.78363888,0.029619408,0.048784907
16,family,day2,jaccard,citrate,1,0.000948716,0.128293148,0.723265535,0.767712948
17,family,day4,bray,all,7,0.056043845,10.90752955,2.00E-05,5.53E-05
18,family,day4,bray,glucose,1,0.186531356,33.2150354,2.00E-05,5.53E-05
19,family,day4,bray,leucine,1,0.014457585,2.283789886,0.132457351,0.17873763
20,family,day4,bray,citrate,1,0.162619191,29.66527285,2.00E-05,5.53E-05
21,family,day4,jaccard,all,7,0.148322471,14.54010826,2.00E-05,5.53E-05
22,family,day4,jaccard,glucose,1,0.44018831,39.31710734,2.00E-05,5.53E-05
23,family,day4,jaccard,leucine,1,0.027276473,2.152839394,0.143357133,0.192287412
24,family,day4,jaccard,citrate,1,0.407424293,39.38299741,2.00E-05,5.53E-05
25,family,day6,bray,all,7,0.042559871,3.082465326,0.003419932,0.006901484
26,family,day6,bray,glucose,1,0.092335219,7.560704633,0.00551989,0.010659097
27,family,day6,bray,leucine,1,0.000354843,0.0267215,0.873222536,0.894693339
28,family,day6,bray,citrate,1,0.196384773,15.62173247,1.00E-04,0.00025454
29,family,day6,jaccard,all,7,0.087882925,3.928556985,0.000419992,0.001011593
30,family,day6,jaccard,glucose,1,0.160366967,9.187639816,0.002359953,0.004940462
31,family,day6,jaccard,leucine,1,0.002409814,0.126217864,0.726585468,0.767712948
32,family,day6,jaccard,citrate,1,0.355646053,21.66716146,2.00E-05,5.53E-05
33,family,day8,bray,all,7,0.058124139,2.62180129,0.011319774,0.020448623
34,family,day8,bray,glucose,1,0.21971029,10.57827429,0.00097998,0.002217329
35,family,day8,bray,leucine,1,0.00053535,0.025446836,0.874722506,0.894693339
36,family,day8,bray,citrate,1,0.074342789,3.638875497,0.05749885,0.089442656
37,family,day8,jaccard,all,7,0.104063287,3.2664461,0.00201996,0.004309247
38,family,day8,jaccard,glucose,1,0.336503867,11.59173874,0.000839983,0.001919962
39,family,day8,jaccard,leucine,1,0.001270501,0.046169013,0.829923402,0.860661305
40,family,day8,jaccard,citrate,1,0.14046685,5.35779122,0.02147957,0.036728426
41,family,day10,bray,all,7,0.137274558,6.961590797,2.00E-05,5.53E-05
42,family,day10,bray,glucose,1,0.238527677,13.29920649,1.00E-04,0.00025454
43,family,day10,bray,leucine,1,0.102667584,4.994808014,0.024819504,0.041489319
44,family,day10,bray,citrate,1,0.060757824,3.13455556,0.075678486,0.113771684
45,family,day10,jaccard,all,7,0.242813026,8.686847251,2.00E-05,5.53E-05
46,family,day10,jaccard,glucose,1,0.394621357,16.97558976,4.00E-05,0.00010795
47,family,day10,jaccard,leucine,1,0.109443722,4.214957258,0.041919162,0.068042697
48,family,day10,jaccard,citrate,1,0.087904434,3.827103575,0.051278974,0.08146447
49,family,day12,bray,all,7,0.054536907,3.76574672,0.000719986,0.001662647
50,family,day12,bray,glucose,1,0.00941267,0.727326618,0.401131977,0.472913489
51,family,day12,bray,leucine,1,0.100241575,7.141578676,0.006739865,0.012686805
52,family,day12,bray,citrate,1,0.006716693,0.511356382,0.479710406,0.548240464
53,family,day12,jaccard,all,7,0.105975304,4.445197253,6.00E-05,0.000156276
54,family,day12,jaccard,glucose,1,0.008758398,0.447890095,0.50798984,0.574695577
55,family,day12,jaccard,leucine,1,0.155072451,7.320508307,0.006699866,0.012686805
56,family,day12,jaccard,citrate,1,0.009811116,0.512981158,0.475650487,0.546388252
57,genus,all,bray,all,7,0.828745569,44.51574555,2.00E-05,5.53E-05
58,genus,all,bray,glucose,1,0.055839448,2.643105867,0.104557909,0.146801064
59,genus,all,bray,leucine,1,5.442443967,317.4545102,2.00E-05,5.53E-05
60,genus,all,bray,citrate,1,0.713831721,31.2901144,2.00E-05,5.53E-05
61,genus,all,jaccard,all,7,1.027785343,53.31708675,2.00E-05,5.53E-05
62,genus,all,jaccard,glucose,1,0.059508836,3.006655752,0.08451831,0.125378155
63,genus,all,jaccard,leucine,1,6.00293776,379.9752592,2.00E-05,5.53E-05
64,genus,all,jaccard,citrate,1,0.699196118,32.10558624,2.00E-05,5.53E-05
65,genus,day2,bray,all,7,0.03532882,4.980815253,6.00E-05,0.000156276
66,genus,day2,bray,glucose,1,0.004203344,0.748085983,0.388392232,0.46031672
67,genus,day2,bray,leucine,1,0.005099844,0.9021121,0.348793024,0.425519232
68,genus,day2,bray,citrate,1,0.018405908,3.581319785,0.05951881,0.091946299
69,genus,day2,jaccard,all,7,0.076041127,6.097600383,2.00E-05,5.53E-05
70,genus,day2,jaccard,glucose,1,0.010948156,1.315243017,0.253414932,0.322528095
71,genus,day2,jaccard,leucine,1,0.00375601,0.422762636,0.513729725,0.578268636
72,genus,day2,jaccard,citrate,1,0.028571082,3.880367355,0.049439011,0.079102418
73,genus,day4,bray,all,7,0.103661414,4.045071534,0.000419992,0.001011593
74,genus,day4,bray,glucose,1,0.019570462,0.877876645,0.350632987,0.425519232
75,genus,day4,bray,leucine,1,0.60531085,27.70294778,2.00E-05,5.53E-05
76,genus,day4,bray,citrate,1,0.138644402,4.900508297,0.026579468,0.044102229
77,genus,day4,jaccard,all,7,0.187017039,5.803834587,2.00E-05,5.53E-05
78,genus,day4,jaccard,glucose,1,0.006353648,0.281783562,0.594928101,0.643786931
79,genus,day4,jaccard,leucine,1,1.021749988,46.63380373,2.00E-05,5.53E-05
80,genus,day4,jaccard,citrate,1,0.088820183,2.902306587,0.09049819,0.133079691
81,genus,day6,bray,all,7,0.092974393,3.841914151,0.000619988,0.001446638
82,genus,day6,bray,glucose,1,0.038497097,1.550373597,0.214255715,0.279030698
83,genus,day6,bray,leucine,1,1.32270383,80.9781682,2.00E-05,5.53E-05
84,genus,day6,bray,citrate,1,0.085870516,2.661505924,0.104597908,0.146801064
85,genus,day6,jaccard,all,7,0.129807853,4.400298573,0.000139997,0.000352353
86,genus,day6,jaccard,glucose,1,0.043893009,1.834973836,0.175936481,0.233193916
87,genus,day6,jaccard,leucine,1,1.562859213,103.5004917,2.00E-05,5.53E-05
88,genus,day6,jaccard,citrate,1,0.07562499,2.289558618,0.131937361,0.17873763
89,genus,day8,bray,all,7,0.113590784,3.106945243,0.003699926,0.007399852
90,genus,day8,bray,glucose,1,0.156722276,4.693684098,0.030619388,0.050063816
91,genus,day8,bray,leucine,1,2.127147673,91.17678681,2.00E-05,5.53E-05
92,genus,day8,bray,citrate,1,0.431175025,10.86645611,0.001059979,0.002350844
93,genus,day8,jaccard,all,7,0.136168948,3.386607128,0.001719966,0.003777179
94,genus,day8,jaccard,glucose,1,0.203575125,6.806434222,0.009619808,0.017956666
95,genus,day8,jaccard,leucine,1,2.154036773,110.067503,2.00E-05,5.53E-05
96,genus,day8,jaccard,citrate,1,0.394828224,10.49464217,0.001039979,0.002329553
97,genus,day10,bray,all,7,0.192786475,7.73438998,2.00E-05,5.53E-05
98,genus,day10,bray,glucose,1,0.002586946,0.104599256,0.747445051,0.78237239
99,genus,day10,bray,leucine,1,1.349472815,67.03838222,2.00E-05,5.53E-05
100,genus,day10,bray,citrate,1,0.073186253,2.707042512,0.098218036,0.140132739
101,genus,day10,jaccard,all,7,0.253502953,9.574587984,2.00E-05,5.53E-05
102,genus,day10,jaccard,glucose,1,0.007908726,0.324900109,0.570668587,0.623533937
103,genus,day10,jaccard,leucine,1,1.50842872,82.66118074,2.00E-05,5.53E-05
104,genus,day10,jaccard,citrate,1,0.090628576,3.417113323,0.065578688,0.100613878
105,genus,day12,bray,all,7,0.193873971,10.67737661,2.00E-05,5.53E-05
106,genus,day12,bray,glucose,1,0.008591081,0.411701995,0.519909602,0.582298754
107,genus,day12,bray,leucine,1,1.058584568,58.26646369,2.00E-05,5.53E-05
108,genus,day12,bray,citrate,1,0.01745213,0.812291388,0.371252575,0.442343494
109,genus,day12,jaccard,all,7,0.237252157,12.14413148,2.00E-05,5.53E-05
110,genus,day12,jaccard,glucose,1,0.007690502,0.345146231,0.559048819,0.613857527
111,genus,day12,jaccard,leucine,1,1.270250545,67.69242746,2.00E-05,5.53E-05
112,genus,day12,jaccard,citrate,1,0.023029558,1.011203169,0.309633807,0.385322071
